source,target,action,niche,use,subtype,quality_score,has_text_overlay,status,error
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (1).png,Media\bathroom\ba\bathroom_ba_together_003.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (10).png,Media\bathroom\ba\bathroom_ba_together_005.jpg,converted+moved,bathroom,ba,together,9,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (11).png,Media\bathroom\ba\bathroom_ba_together_007.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (12).png,Media\bathroom\ba\bathroom_ba_together_009.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (13).png,Media\bathroom\ba\bathroom_ba_together_011.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (14).png,Media\bathroom\ba\bathroom_ba_together_013.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (15).png,Media\bathroom\ba\bathroom_ba_together_015.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (16).png,Media\bathroom\ba\bathroom_ba_together_017.jpg,converted+moved,bathroom,ba,together,7,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (17).png,Media\bathroom\ba\bathroom_ba_together_019.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (18).png,Media\bathroom\ba\bathroom_ba_together_021.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (19).png,Media\bathroom\ba\bathroom_ba_together_023.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (20).png,Media\bathroom\ba\bathroom_ba_together_026.jpg,converted+moved,bathroom,ba,together,7,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (21).png,Media\bathroom\ba\bathroom_ba_together_028.jpg,converted+moved,bathroom,ba,together,7,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (23).png,Media\bathroom\ba\bathroom_ba_together_031.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (24).png,Media\bathroom\ba\bathroom_ba_together_033.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (25).png,Media\bathroom\ba\bathroom_ba_together_035.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (27).png,Media\bathroom\ba\bathroom_ba_together_038.jpg,converted+moved,bathroom,ba,together,7,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (3).png,Media\bathroom\ba\bathroom_ba_together_042.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (6).png,Media\bathroom\ba\bathroom_ba_together_051.jpg,converted+moved,bathroom,ba,together,6,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (7).png,Media\bathroom\ba\bathroom_ba_together_053.jpg,converted+moved,bathroom,ba,together,7,False,ok,
Media\floring\before after\Floring After Story 1.webp,Media\flooring\ba\flooring_ba_after_001.jpg,converted+moved,flooring,ba,after,8,False,ok,
Media\floring\before after\Floring Before Story 1  (3).webp,Media\flooring\ba\flooring_ba_process_001.jpg,converted+moved,flooring,ba,process,7,False,ok,
Media\floring\before after\Floring Before Story 1  (2).webp,Media\flooring\ba\flooring_ba_story_001.jpg,converted+moved,flooring,ba,story,8,False,ok,
Media\floring\before after\Before After Together 12.webp,Media\flooring\ba\flooring_ba_together_002.jpg,converted+moved,flooring,ba,together,8,False,ok,
Media\floring\projects\featured.webp,Media\flooring\hero\flooring_hero_result_003.jpg,converted+moved,flooring,hero,result,9,False,ok,
Media\floring\projects\image-3-1024x706.png,Media\flooring\hero\flooring_hero_result_004.jpg,converted+moved,flooring,hero,result,9,False,ok,
Media\floring\before after\Floring Before Story 1  (1).webp,Media\flooring\project\flooring_project_wide_001.jpg,converted+moved,flooring,project,wide,8,False,ok,
Media\floring\projects\IMG_9358.webp,Media\flooring\project\flooring_project_wide_006.jpg,converted+moved,flooring,project,wide,8,False,ok,
Media\floring\projects\New_Projects-2_girls_1600x.webp,Media\flooring\project\flooring_project_wide_007.jpg,converted+moved,flooring,project,wide,9,False,ok,
Media\floring\projects\a307ea676e028448a1bca7cef9da989ac9bf457c-2048x736.webp,Media\flooring\project\flooring_project_wide_011.jpg,converted+moved,flooring,project,wide,8,False,ok,
Media\floring\projects\arreton-laminate-flooring.webp,Media\flooring\project\flooring_project_wide_012.jpg,converted+moved,flooring,project,wide,8,False,ok,
Media\floring\projects\bathroom-floor.webp,Media\flooring\project\flooring_project_wide_013.jpg,converted+moved,flooring,project,wide,8,False,ok,
