id,path,niche,use,subtype,quality,width,height,megapixels,size_kb,needs_upscale,has_text_overlay,has_person,tags,caption,split
1,bathroom/ba/bathroom_ba_after_001.jpg,bathroom,ba,after,7,768,1152,0.88,361,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|after renovation|completed work|contractor portfolio,,train
2,bathroom/ba/bathroom_ba_before_001.jpg,bathroom,ba,before,7,1536,2048,3.15,698,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before renovation|original state|contractor portfolio,,test
3,bathroom/ba/bathroom_ba_process_001.jpg,bathroom,ba,process,7,1152,768,0.88,283,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|installation in progress|work in progress|contractor portfolio,,train
4,bathroom/ba/bathroom_ba_process_002.jpg,bathroom,ba,process,7,1512,2016,3.05,484,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|installation in progress|work in progress|contractor portfolio,,train
5,bathroom/ba/bathroom_ba_together_001.jpg,bathroom,ba,together,7,3300,2550,8.41,2094,False,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
6,bathroom/ba/bathroom_ba_together_002.jpg,bathroom,ba,together,7,1024,576,0.59,81,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
7,bathroom/ba/bathroom_ba_together_003.jpg,bathroom,ba,together,7,1024,768,0.79,54,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
8,bathroom/ba/bathroom_ba_together_004.jpg,bathroom,ba,together,7,1024,1024,1.05,126,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
9,bathroom/ba/bathroom_ba_together_005.jpg,bathroom,ba,together,7,1152,768,0.88,126,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
10,bathroom/ba/bathroom_ba_together_006.jpg,bathroom,ba,together,7,1024,1024,1.05,66,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,test
11,bathroom/ba/bathroom_ba_together_007.jpg,bathroom,ba,together,7,1152,768,0.88,71,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,val
12,bathroom/ba/bathroom_ba_together_008.jpg,bathroom,ba,together,7,1152,768,0.88,101,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
13,bathroom/ba/bathroom_ba_together_009.jpg,bathroom,ba,together,7,1024,768,0.79,123,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
14,bathroom/ba/bathroom_ba_together_010.jpg,bathroom,ba,together,7,1152,768,0.88,119,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
15,bathroom/ba/bathroom_ba_together_011.jpg,bathroom,ba,together,7,1024,1024,1.05,52,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
16,bathroom/ba/bathroom_ba_together_012.jpg,bathroom,ba,together,7,1152,768,0.88,115,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,test
17,bathroom/ba/bathroom_ba_together_013.jpg,bathroom,ba,together,7,1024,1024,1.05,125,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
18,bathroom/ba/bathroom_ba_together_014.jpg,bathroom,ba,together,7,1152,768,0.88,41,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
19,bathroom/ba/bathroom_ba_together_015.jpg,bathroom,ba,together,7,1024,768,0.79,91,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
20,bathroom/ba/bathroom_ba_together_016.jpg,bathroom,ba,together,7,1024,576,0.59,72,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
21,bathroom/ba/bathroom_ba_together_017.jpg,bathroom,ba,together,7,1024,1024,1.05,100,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
22,bathroom/ba/bathroom_ba_together_018.jpg,bathroom,ba,together,7,2048,2048,4.19,614,False,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
23,bathroom/ba/bathroom_ba_together_019.jpg,bathroom,ba,together,7,1024,1024,1.05,137,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
24,bathroom/ba/bathroom_ba_together_020.jpg,bathroom,ba,together,7,1152,768,0.88,101,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
25,bathroom/ba/bathroom_ba_together_021.jpg,bathroom,ba,together,7,1024,1024,1.05,64,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
26,bathroom/ba/bathroom_ba_together_022.jpg,bathroom,ba,together,7,1152,768,0.88,31,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
27,bathroom/ba/bathroom_ba_together_023.jpg,bathroom,ba,together,7,1024,1024,1.05,98,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
28,bathroom/ba/bathroom_ba_together_024.jpg,bathroom,ba,together,7,1152,768,0.88,119,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
29,bathroom/ba/bathroom_ba_together_025.jpg,bathroom,ba,together,7,1152,768,0.88,135,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
30,bathroom/ba/bathroom_ba_together_026.jpg,bathroom,ba,together,7,1024,1024,1.05,96,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
31,bathroom/ba/bathroom_ba_together_027.jpg,bathroom,ba,together,7,1152,768,0.88,104,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,val
32,bathroom/ba/bathroom_ba_together_028.jpg,bathroom,ba,together,7,1024,1024,1.05,166,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
33,bathroom/ba/bathroom_ba_together_029.jpg,bathroom,ba,together,7,1152,768,0.88,90,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
34,bathroom/ba/bathroom_ba_together_030.jpg,bathroom,ba,together,7,1152,768,0.88,96,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,val
35,bathroom/ba/bathroom_ba_together_031.jpg,bathroom,ba,together,7,1024,1024,1.05,77,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
36,bathroom/ba/bathroom_ba_together_032.jpg,bathroom,ba,together,7,1152,768,0.88,90,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
37,bathroom/ba/bathroom_ba_together_033.jpg,bathroom,ba,together,7,1024,1024,1.05,187,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
38,bathroom/ba/bathroom_ba_together_034.jpg,bathroom,ba,together,7,1152,768,0.88,184,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
39,bathroom/ba/bathroom_ba_together_035.jpg,bathroom,ba,together,7,1024,768,0.79,48,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
40,bathroom/ba/bathroom_ba_together_036.jpg,bathroom,ba,together,7,1024,576,0.59,90,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
41,bathroom/ba/bathroom_ba_together_037.jpg,bathroom,ba,together,7,1152,768,0.88,88,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
42,bathroom/ba/bathroom_ba_together_038.jpg,bathroom,ba,together,7,1024,1024,1.05,75,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,val
43,bathroom/ba/bathroom_ba_together_039.jpg,bathroom,ba,together,7,1024,1024,1.05,49,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,test
44,bathroom/ba/bathroom_ba_together_040.jpg,bathroom,ba,together,7,1024,1024,1.05,61,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
45,bathroom/ba/bathroom_ba_together_041.jpg,bathroom,ba,together,7,1152,768,0.88,90,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
46,bathroom/ba/bathroom_ba_together_042.jpg,bathroom,ba,together,7,1024,1024,1.05,83,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
47,bathroom/ba/bathroom_ba_together_043.jpg,bathroom,ba,together,7,1024,1024,1.05,72,True,False,False,bathroom|renovation|tile|fixtures|remodeling|interior|before after|comparison|transformation|before after side by side|split view|contractor portfolio,,train
